 1964 7:40:45 PM,836.52,6540.89,-10.36
 1964 7:43:31 AM,5556.04,3525.36,-4.18
 1964 7:43:46 PM,6228.84,-2007.37,-11.58
 1964 8:07:35 PM,-6027.25,-2655.24,-3.33
 1964 8:18:21 AM,6541.12,927.58,-6.26
 1964 8:19:52 AM,4260.94,5065.73,-8.78
 1964 8:24:12 PM,5309.71,3966.3,-12.4
 1964 8:35:58 AM,-3584.63,5523.72,-2.61
 1964 8:38:41 PM,2471.96,-6136.48,-14.63
 1964 8:44:48 PM,5941.27,-2781.57,-14.44
 1964 8:51:52 AM,-6465.54,1281.12,-8.63
 1964 9:20:04 AM,-588.01,6566.64,-12.18
 1965 1:28:26 AM,350.18,6554.79,-13.67
 1965 1:33:48 AM,6320.33,-1827.18,-14.71
 1965 10:07:01 AM,5760.3,3155.57,-1.24
 1965 10:09:57 AM,-4053.08,-5134.13,-0.75
 1965 10:14:19 AM,-103478.99,-132.66,-105.23
 1965 10:27:09 PM,5905.75,2978.13,-7.05
 1965 10:38:43 PM,3380.22,-5632.63,-9.08
 1965 11:00:07 PM,-6532.08,-687.33,-7.3
 1965 11:03:54 AM,-97840.97,-23323.3,43.74
 1965 11:25:26 AM,6394.05,-1577.19,-2.43
 1965 11:30:04 AM,-5956.09,-2804.72,-9.48
 1965 11:34:55 PM,910.99,-6569.22,-10.52
 1965 11:36:14 PM,-2074.16,6252.15,-4.68
 1965 11:48:09 AM,5823.44,-3135.56,-9.34
 1965 12:04:41 AM,4071.56,-5214.26,-12.71
 1965 12:10:22 AM,-5998.17,-2752.58,-14.78
 1965 12:23:58 AM,4813.06,-4452.07,-8.43
 1965 12:25:46 PM,1421.19,6431.31,-3.69
 1965 12:26:21 PM,279.84,6596.55,-7.48
 1965 12:57:59 AM,-1603.24,-11956.2,7462.55
 1965 2:15:51 AM,3246.24,5703.71,-13.81
 1965 2:58:17 PM,6264.81,-2029.03,-8.61
 1965 3:18:27 PM,6565.01,711.52,-7.86
 1965 3:54:44 PM,-6428.83,-1444.19,-3.59
 1965 3:57:53 PM,4687.2,-4712.33,-10.84
 1965 4:04:32 AM,2480.89,-6054.99,-6.29
 1965 4:17:11 PM,-6023.01,2612.12,-11.82
 1965 4:39:53 AM,4208.63,-5053.11,-12.44
 1965 5:22:17 AM,-693.79,-6547.76,-12.22
 1965 5:41:19 AM,1746.7,6366.49,-14.01
 1965 5:50:18 PM,6431.51,-1293.83,3.51
 1965 6:27:21 PM,-4300.18,-4965.62,-8.7
 1965 6:33:20 PM,4586.14,-4694.65,-12.13
 1965 6:53:16 PM,-2221,-12025.48,-2.5
 1965 7:01:53 PM,-6225.35,2351.28,-13.97
 1965 7:16:24 PM,-69133.58,-118462.35,101.48
 1965 7:23:39 AM,-4922.46,4368.3,-7.47
 1965 7:23:48 AM,-6023.84,2648.94,-1.51
 1965 7:34:56 AM,-4535.19,4864.53,-8.56
 1965 7:46:38 PM,-4818.95,-4491.63,-10.3
 1965 7:57:28 PM,6570.24,715.56,-12.01
 1965 8:06:53 PM,-5879.97,3082.25,-9.22
